,UF,cidade,dist,lat,lon
0,RO,Alta Floresta D'Oeste,1997.356128166415,-0.20831447632324757,-1.0821010626470944
1,RO,Ariquemes,2230.443564874706,-0.17293530083376565,-1.100138087197289
2,RO,Cabixi,1765.2260386326104,-0.23561532061218585,-1.0566976153518592
3,RO,Cacoal,1987.7954602900345,-0.19955859097945094,-1.0723816786151021
4,RO,Cerejeiras,1809.5176688283227,-0.23029677131781032,-1.0614817824550822
5,RO,Colorado do Oeste,1791.8316775847663,-0.22917157167748986,-1.056885305998385
6,RO,Corumbiara,1834.2634450871215,-0.2268495227215171,-1.0637555102428375
7,RO,Costa Marques,2156.656129300413,-0.2170493879895724,-1.1210538452388803
8,RO,Espigão do Oeste,1946.5500090349778,-0.2012112363471325,-1.0650029309640037
9,RO,Guajará-Mirim,2361.707837887073,-0.18803974450229796,-1.1401180396679063
10,RO,Jaru,2145.8777063325533,-0.1821416665693005,-1.0904159300919334
11,RO,Ji-Paraná,2069.559694203659,-0.18992762487532444,-1.0811458559274179
12,RO,Machadinho D'Oeste,2185.6494090494407,-0.16450709912844216,-1.0820970252834008
13,RO,Nova Brasilândia D'Oeste,2038.399773171274,-0.20457572117024211,-1.0874837674347932
14,RO,Ouro Preto do Oeste,2106.989252490929,-0.18716167214989177,-1.086660408838385
15,RO,Pimenta Bueno,1948.6798536361734,-0.20381146899892816,-1.0678564144437541
16,RO,Porto Velho,2380.806591631592,-0.15304603348659918,-1.1140688929771063
17,RO,Presidente Médici,2045.057806665931,-0.19500921553303635,-1.0805235430886186
18,RO,Rio Crespo,2234.9985149433974,-0.1693935712574421,-1.0978122804252635
19,RO,Rolim de Moura,1994.8031090902455,-0.20459201381008285,-1.0783653082351812
20,RO,Santa Luzia D'Oeste,1980.3754663337722,-0.20784119587344047,-1.0781475701712955
21,RO,Vilhena,1785.2531880882887,-0.22237891830917092,-1.0496162959501856
22,RO,São Miguel do Guaporé,2074.6336836228647,-0.20419461683261783,-1.0946716148102873
23,RO,Nova Mamoré,2386.6884169484583,-0.18171969005714783,-1.140208747979132
24,RO,Alvorada D'Oeste,2062.8265246618416,-0.1979924196826714,-1.0869434955759743
25,RO,Alto Alegre dos Parecis,1971.1579913200214,-0.2117394566877296,-1.0795398490822017
26,RO,Alto Paraíso,2267.8403921250447,-0.1695878268988625,-1.105101108172247
27,RO,Buritis,2273.684432556648,-0.1781947203435604,-1.1140380554073062
28,RO,Novo Horizonte do Oeste,2013.0129144535765,-0.20437356851609498,-1.082006182473612
29,RO,Cacaulândia,2187.830651738424,-0.18044737199254493,-1.0978677743661265
30,RO,Campo Novo de Rondônia,2230.83098532879,-0.1844536641112792,-1.1104655869455888
31,RO,Candeias do Jamari,2369.0749194629466,-0.15332753613194355,-1.1117750838393847
32,RO,Castanheiras,2029.7216349857736,-0.19943601994089133,-1.0812168317276347
33,RO,Chupinguaia,1861.4943273253027,-0.21915821492982568,-1.0629377637858004
34,RO,Cujubim,2235.228619883127,-0.16368035270309358,-1.0923522651019957
35,RO,Governador Jorge Teixeira,2154.36998469353,-0.18521559288982098,-1.0950275600173045
36,RO,Itapuã do Oeste,2296.6898114128826,-0.16042842515479214,-1.1027398100426158
37,RO,Ministro Andreazza,2011.634948853328,-0.19541121666114286,-1.0737077399575898
38,RO,Mirante da Serra,2116.9090684680123,-0.19278224999762783,-1.093787843151531
39,RO,Monte Negro,2225.587809237416,-0.1791248472944963,-1.1047159093585202
40,RO,Nova União,2116.907908700047,-0.190511973734604,-1.0917922738902055
41,RO,Parecis,1946.386032972088,-0.21257808435818532,-1.0750878772604073
42,RO,Pimenteiras do Oeste,1809.5158862987712,-0.23521037879278528,-1.0654254034289168
43,RO,Primavera de Rondônia,1948.6283718816053,-0.2063975227267803,-1.0701756178899637
44,RO,São Felipe D'Oeste,1958.3139983554083,-0.20794532260407755,-1.0735957977368102
45,RO,São Francisco do Guaporé,2122.7922142400253,-0.21055300258975407,-1.1095208975433328
46,RO,Seringueiras,2097.0295077224782,-0.20537492875741775,-1.1002339357876507
47,RO,Teixeirópolis,2091.134534995621,-0.1908023484260976,-1.0865708221979096
48,RO,Theobroma,2149.3701163983887,-0.17887409228213588,-1.0881280621317797
49,RO,Urupá,2086.1788060074746,-0.19422975601822506,-1.08857289287004
50,RO,Vale do Anari,2166.311331566231,-0.17193923866330563,-1.0851902874958388
51,RO,Vale do Paraíso,2118.679971731523,-0.1820562137952636,-1.0844496904455743
52,AC,Acrelândia,2559.729374992369,-0.17582087159142068,-1.1702836954105837
53,AC,Assis Brasil,2732.6707336325076,-0.19098903573519613,-1.2141114016751722
54,AC,Brasiléia,2653.1000829218356,-0.19227264403627894,-1.1998779667584907
55,AC,Bujari,2655.979404027455,-0.17139167509637943,-1.185983677273901
56,AC,Capixaba,2582.9939274519816,-0.18447724768953724,-1.1811255304842851
57,AC,Cruzeiro do Sul,3220.245896891445,-0.13318066478627258,-1.2683749472473222
58,AC,Epitaciolândia,2652.107252075607,-0.19247909569817315,-1.199824291613024
59,AC,Feijó,2977.8959398354823,-0.14242318717623473,-1.22790865585721
60,AC,Jordão,3057.622233755407,-0.16045436396760923,-1.2557796706190458
61,AC,Mâncio Lima,3244.745319309155,-0.1325267351003793,-1.2726330219392687
62,AC,Manoel Urbano,2836.383896305624,-0.15422283826127903,-1.2088140726261678
63,AC,Marechal Thaumaturgo,3149.573855607881,-0.15626964497717727,-1.2704298035089971
64,AC,Plácido de Castro,2554.6683930071995,-0.18038210441556488,-1.1726563571904793
65,AC,Porto Walter,3186.886358593972,-0.1442805461947241,-1.2695932332710609
66,AC,Rio Branco,2633.135434783397,-0.17415416698225844,-1.1835169933400915
67,AC,Rodrigues Alves,3211.507796736979,-0.13497681852699447,-1.2679442627639326
68,AC,Santa Rosa do Purus,2908.110127280679,-0.16481853668198704,-1.2302214489935657
69,AC,Senador Guiomard,2616.156471609814,-0.17711904214311058,-1.1823414034280175
70,AC,Sena Madureira,2767.787140406539,-0.15822002217336298,-1.1982677370856587
71,AC,Tarauacá,3014.012014573424,-0.1423432696283994,-1.2349164574459524
72,AC,Xapuri,2653.1711529181994,-0.18591372751753582,-1.1956604026891366
73,AC,Porto Acre,2634.0140742130347,-0.16756658715163897,-1.178805675696907
74,AM,Alvarães,2906.529673836626,-0.056139977437004045,-1.1312095799796416
75,AM,Amaturá,3146.959245830346,-0.058761835795100026,-1.1904823570002347
76,AM,Anamã,2646.506162675723,-0.06241943922036018,-1.0717351958843533
77,AM,Anori,2647.0863466713727,-0.06536931023418258,-1.0761517847718858
78,AM,Apuí,2221.033257601576,-0.1256265332764434,-1.0452020482769822
79,AM,Atalaia do Norte,3229.1241081039293,-0.0762038238558754,-1.2250115083690238
80,AM,Autazes,2511.5166855153307,-0.06245946337082098,-1.032075444200878
81,AM,Barcelos,2980.8610350247377,-0.016978581332991217,-1.0982601195561397
82,AM,Barreirinha,2482.486712308174,-0.04883692761804732,-0.996020142755362
83,AM,Benjamin Constant,3215.2108965370717,-0.07635796311316544,-1.2222077966023779
84,AM,Beruri,2615.228347666942,-0.0679720817640812,-1.0711359791812773
85,AM,Boa Vista do Ramos,2489.9996151440455,-0.05186641244529132,-1.0050951018713519
86,AM,Boca do Acre,2679.2566810353283,-0.15273800741469679,-1.1763445463083486
87,AM,Borba,2460.5837483816695,-0.07663077331023119,-1.0401212711643586
88,AM,Caapiranga,2657.070138264244,-0.05812109408756086,-1.0683393201627291
89,AM,Canutama,2600.3027047808073,-0.11395439823467647,-1.1238913470790093
90,AM,Carauari,2924.7988599997043,-0.08520114301063608,-1.1675665441714693
91,AM,Careiro,2559.6694298444722,-0.06671429034536867,-1.0535472308203286
92,AM,Careiro da Várzea,2587.1242244562504,-0.05580509807306034,-1.044166159693139
93,AM,Coari,2715.015899150681,-0.07128307169409313,-1.1020390074225759
94,AM,Codajás,2664.3324988996324,-0.06707380483099142,-1.0832111926556314
95,AM,Eirunepé,3036.237167582767,-0.11636725468370052,-1.219396801232933
96,AM,Envira,2997.332829369556,-0.12984931189043808,-1.222261275405285
97,AM,Fonte Boa,3058.2142523792304,-0.043847395145856664,-1.153601601226286
98,AM,Guajará,3217.3483588663166,-0.13173351473604822,-1.2668023919934153
99,AM,Humaitá,2417.1420114311322,-0.13111305953843835,-1.100023397142352
100,AM,Ipixuna,3169.972581346135,-0.12306281848892646,-1.2513036504535213
101,AM,Iranduba,2600.430391470852,-0.057265193099447026,-1.0505728114294364
102,AM,Itacoatiara,2516.593460672939,-0.054809949887896336,-1.0199734768152755
103,AM,Itamarati,2915.65776381304,-0.11236079521581621,-1.1911508668874466
104,AM,Itapiranga,2535.0548831578717,-0.04785418359957833,-1.012893905575523
