br-ac;3
br-al;42
br-ap;5
br-am;9
br-ba;134
br-ce;41
br-df;152
br-es;40
br-go;106
br-ma;5
br-mt;11
br-ms;26
br-mg;475
br-pa;23
br-pb;152
br-pr;185
br-pe;39
br-pi;13
br-rj;495
br-rn;22
br-rs;56
br-ro;4
br-rr;1
br-sc;35
br-sp;0
br-se;10
br-to;3
