br-ac;3
br-al;45
br-ap;3
br-am;20
br-ba;247
br-ce;60
br-df;96
br-es;43
br-go;175
br-ma;13
br-mt;28
br-ms;40
br-mg;788
br-pa;41
br-pb;285
br-pr;297
br-pe;54
br-pi;17
br-rj;455
br-rn;56
br-rs;77
br-ro;20
br-rr;3
br-sc;55
br-sp;0
br-se;15
br-to;6
